Code,ForecastDate,ForecastType,ForecastStart,ForecastEnd,PrecipitationProbability,WeatherConditions,PrecipitationType,ExpectedPrecipitationAmount,MinimumTemperature,MaximumTemperature,WindDirection,WindSpeed,PrecipitationAmountDay,Notes,global_id
792203,27.05.2023,трехчасовой прогноз,27.05.2023,27.05.2023,,,дождь,,20,22,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 20…22 градуса, ветер северо-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 8…10 градусов, ветер северо-западный 3-8 м/сек.",2588716520
792398,28.05.2023,трехчасовой прогноз,28.05.2023,28.05.2023,,,дождь,,16,18,,,,"Днем местами кратковременный дождь 0-5 мм, температура 16…18 градусов, ветер северо-западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 7…9 градусов, северо-западный 3-8 м/сек.",2588871205
792594,29.05.2023,трехчасовой прогноз,29.05.2023,29.05.2023,,,без осадков,,21,23,,,,"Днем без осадков, температура 21…23 градуса, ветер северо-западный 3-8 м/сек. Ночью без осадков, температура 9…11 градусов, ветер слабый, менее 5 м/сек.",2591515869
792790,30.05.2023,трехчасовой прогноз,30.05.2023,30.05.2023,,,без осадков,,21,23,,,,"Днем без осадков, температура 21…23 градуса, ветер юго-западный 3-8 м/сек. Ночью во второй половине ночи местами небольшой кратковременный дождь 0-2 мм, температура 11…13 градусов, ветер северо-западный 5-10 м/сек.",2591547381
792974,31.05.2023,трехчасовой прогноз,31.05.2023,31.05.2023,,,дождь,,17,19,,,,"Днем кратковременный дождь 2-5 мм, температура 17…19 градуса, ветер северо-западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 8…10 градусов, ветер северо-западный 3-8 м/сек.",2591597844
793170,01.06.2023,трехчасовой прогноз,01.06.2023,01.06.2023,,,без осадков,,21,23,,,,"Днем без существенных осадков 0-0,2 мм, температура 21…23 градуса, ветер юго-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 11…13 градусов, ветер юго-западный 5-10 м/сек.",2591634226
793355,02.06.2023,трехчасовой прогноз,02.06.2023,02.06.2023,,,дождь,,21,23,,,,"Днем кратковременный дождь 5-10 мм, возможна гроза, температура 21…23 градуса, ветер юго-западный 5-10 м/сек, при грозе порывы 12-17 м/сек. Ночью кратковременный дождь 5-10 мм, возможна гроза, температура 7…9 градусов, ветер юго-западный 5-10 м/сек, при грозе порывы 12-17 м/сек.",2591668420
793551,03.06.2023,трехчасовой прогноз,03.06.2023,03.06.2023,,,дождь,,11,13,,,,"Днем временами дождь 1-5 мм, температура 11…13 градусов, ветер северо-западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без осадков, температура 5…7 градусов, ветер северо-западный 3-8 м/сек.",2591697563
793746,04.06.2023,трехчасовой прогноз,04.06.2023,04.06.2023,,,без осадков,,15,17,,,,"Днем без осадков, температура 15…17 градусов, ветер западный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 7…9 градусов, ветер юго-западный 3-8 м/сек.",2591761135
793943,05.06.2023,трехчасовой прогноз,05.06.2023,05.06.2023,,,дождь,,15,17,,,,"Днем местами кратковременный дождь 0-5 мм, температура 15…17 градусов, ветер юго-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 7…9 градусов, ветер западный 3-8 м/сек.",2591791052
794139,06.06.2023,трехчасовой прогноз,06.06.2023,06.06.2023,,,дождь,,18,20,,,,"Днем без существенных осадков 0-0,2 мм, температура 18…20 градусов, ветер западный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 7…9 градусов, ветер западный 3-8 м/сек.",2591831059
794324,07.06.2023,трехчасовой прогноз,07.06.2023,07.06.2023,,,дождь,,20,22,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 20…22 градуса, ветер западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 10…12 градусов, ветер переменный 2-7 м/сек.",2591862448
794520,08.06.2023,трехчасовой прогноз,08.06.2023,08.06.2023,,,без осадков,,20,22,,,,"Днем без осадков, температура 20…22 градуса, ветер переменный 2-7 м/сек. Ночью без осадков, температура 10…12 градусов, ветер юго-западный 3-8 м/сек.",2591888189
794714,09.06.2023,трехчасовой прогноз,09.06.2023,09.06.2023,,,дождь,,22,24,,,,"Днем местами кратковременный дождь 0-10 мм, возможна гроза, температура 22…24 градуса, ветер западный 5-10 м/сек, при грозе порывы 12-17 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 8…10 градусов, ветер северо-восточный 5-10 м/сек.",2591916346
794899,10.06.2023,трехчасовой прогноз,10.06.2023,10.06.2023,,,без осадков,,16,18,,,,"Днем без осадков, температура 16…18 градусов, ветер северо-восточный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без осадков, температура 7…9 градусов, ветер северо-восточный 5-10 м/сек.",2591943645
795095,11.06.2023,трехчасовой прогноз,11.06.2023,11.06.2023,,,без осадков,,15,17,,,,"Днем без осадков, температура 15…17 градусов, ветер северо-восточный 5-10 м/сек. Ночью без осадков, температура 6…8 градусов, ветер северо-восточный 5-10 м/сек.",2591959946
