Code,ForecastDate,ForecastType,ForecastStart,ForecastEnd,PrecipitationProbability,WeatherConditions,PrecipitationType,ExpectedPrecipitationAmount,MinimumTemperature,MaximumTemperature,WindDirection,WindSpeed,PrecipitationAmountDay,Notes,global_id
803770,26.07.2023,трехчасовой прогноз,26.07.2023,26.07.2023,,,дождь,,23,25,,,,"Днем кратковременный дождь, местами сильный 5-12 мм, местами до 20 мм, возможна гроза, температура 23…25 градусов, ветер южный 5-10 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 16…18 градусов, ветер юго-восточный 3-8 м/сек.",2604787036
803966,27.07.2023,трехчасовой прогноз,27.07.2023,27.07.2023,,,дождь,,24,26,,,,"Днем местами кратковременный дождь 0-5 мм, возможна гроза, температура 24…26 градусов, ветер юго-восточный 5-10 м/сек. Ночью кратковременный дождь, местами сильный 5-14 мм местами до 20 мм, возможна гроза, температура 18…20 градусов, ветер юго-западный 5-10 м/сек.",2604972425
804151,28.07.2023,трехчасовой прогноз,28.07.2023,28.07.2023,,,дождь,,25,27,,,,"Днем кратковременный дождь, местами сильный 5-12 мм, местами до 25 мм, возможна гроза, температура 25…27 градусов, ветер юго-восточный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью кратковременный дождь 5-10 мм, температура 16…18 градусов, ветер северный 3-8 м/сек.",2605286987
804347,29.07.2023,трехчасовой прогноз,29.07.2023,29.07.2023,,,дождь,,19,21,,,,"Днем кратковременный дождь 5-10 мм, температура 19…21 градус, ветер северо-западный 5-10 м/сек. Ночью без осадков, температура 12…14 градусов, ветер северо-западный 2-7 м/сек.",2606013664
804542,30.07.2023,трехчасовой прогноз,30.07.2023,30.07.2023,,,без осадков,,22,24,,,,"Днем без существенных осадков 0-0,2 мм, температура 22…24 градуса, ветер северо-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 13…15 градусов, ветер западный 5-10 м/сек.",2606307501
804726,31.07.2023,трехчасовой прогноз,31.07.2023,31.07.2023,,,без осадков,,23,25,,,,"Днем без существенных осадков 0-0,2 мм, температура 23…25 градусов, ветер юго-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 16…18 градусов, ветер юго-западный 3-8 м/сек.",2606375990
804922,01.08.2023,трехчасовой прогноз,01.08.2023,01.08.2023,,,дождь,,24,26,,,,"Днем жаркая погода, местами кратковременный дождь 0-3 мм, температура 24…26 градусов, ветер юго-западный 3-8 м/сек. Ночью без существенных осадков дождь 0-0,2 мм, температура 16…18 градусов, ветер юго-западный 3-8 м/сек.",2606406471
805118,02.08.2023,трехчасовой прогноз,02.08.2023,02.08.2023,,,дождь,,24,26,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, возможна гроза, температура 24…26 градусов, ветер юго-восточный, южный 3-8 м/сек. Ночью местами небольшой кратковременный дождь 0-2 мм, температура 16…18 градусов, ветер южный 3-8 м/сек.",2606560589
805302,03.08.2023,трехчасовой прогноз,03.08.2023,03.08.2023,,,дождь,,28,30,,,,"Днем жаркая погода, местами небольшой кратковременный дождь 0-1 мм, температура 28…30 градусов, ветер южный 3-8 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 18…20 градусов, ветер южный 3-8 м/сек.",2606619895
805498,04.08.2023,трехчасовой прогноз,04.08.2023,04.08.2023,,,дождь,,29,31,,,,"Днем жаркая погода, возможны локальные ливни 0-10 мм, возможна гроза, температура 29…31 градус, ветер юго-западный 3-8 м/сек. Ночью без осадков, температура 18…20 градусов, ветер юго-западный 3-8 м/сек.",2606652278
805695,05.08.2023,трехчасовой прогноз,05.08.2023,05.08.2023,,,без осадков,,30,32,,,,"Днем очень жаркая погода, без осадков, температура 30…32 градуса, ветер западный 3-8 м/сек. Ночью без осадков, температура 20…22 градуса, ветер юго-восточный 3-8 м/сек.",2606682195
805891,06.08.2023,трехчасовой прогноз,06.08.2023,06.08.2023,,,без осадков,,32,34,,,,"Днем сохранится очень жаркая погода, без осадков, температура 32…34 градуса, ветер юго-восточный 3-8 м/сек. Ночью без осадков, температура 20…22 градуса, ветер юго-восточный 3-8 м/сек.",2606761223
806076,07.08.2023,трехчасовой прогноз,07.08.2023,07.08.2023,,,без осадков,,32,34,,,,"Днем сохранится очень жаркая погода, без осадков, температура 32…34 градуса, ветер юго-восточный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью местами кратковременный дождь 0-5 мм, температура 21…23 градуса, ветер юго-восточный 5-10 м/сек.",2607245205
806271,08.08.2023,трехчасовой прогноз,08.08.2023,08.08.2023,,,дождь,,25,27,,,,"Днем жаркая погода, местами кратковременный дождь 0-10 мм, возможна гроза, температура 25…27 градусов, ветер северо-западный 5-10 м/сек. Ночью местами кратковременный дождь 0-5 мм, температура 17…19 градусов, ветер северо-западный 5-10 м/сек.",2608223684
806456,09.08.2023,трехчасовой прогноз,09.08.2023,09.08.2023,,,дождь,,22,24,,,,"Днем кратковременный дождь, местами сильный 5-10 мм, местами до 20 мм, возможна гроза, температура 22…24 градусов, ветер северо-западный 5-10 м/сек. Ночью без осадков, температура 15…17 градусов, ветер северо-западный 3-8 м/сек.",2608401368
806652,10.08.2023,трехчасовой прогноз,10.08.2023,10.08.2023,,,без осадков,,24,26,,,,"Днем без осадков, температура 24…26 градусов, ветер северо-восточный 3-8 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 15…17 градусов, ветер северо-восточный 2-7 м/сек.",2608417183
806848,11.08.2023,трехчасовой прогноз,11.08.2023,11.08.2023,,,дождь,,26,28,,,,"Днем жаркая погода, местами небольшой кратковременный дождь 0-1 мм, температура 26…28 градусов, ветер восточный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью кратковременный дождь 1-4 мм, температура 18…20 градусов, ветер восточный 3-8 м/сек.",2608428739
807044,12.08.2023,трехчасовой прогноз,12.08.2023,12.08.2023,,,дождь,,24,26,,,,"Днем кратковременный дождь 5-12 мм, возможна гроза, температура 24…26 градусов, ветер юго-восточный 5-10 м/сек. местами порывы 12-14 м/сек. Ночью кратковременный дождь 3-8 мм, температура 16…18 градусов, ветер юго-восточный 3-8 м/сек.",2608480610
807240,13.08.2023,трехчасовой прогноз,13.08.2023,13.08.2023,,,дождь,,22,24,,,,"Днем местами кратковременный дождь 0-5 мм, температура 22…24 градуса, ветер юго-восточный 3-8 м/сек. Ночью местами небольшой кратковременный дождь 0-2 мм, температура 16…18 градусов, ветер южный 2-7 м/сек.",2608510385
807425,14.08.2023,трехчасовой прогноз,14.08.2023,14.08.2023,,,дождь,,22,24,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 22…24 градуса, ветер западный 5-10 м/сек. Ночью преимущественно без осадков 0-0,2 мм, температура 15…17 градусов, ветер северо-западный 4-9 м/сек.",2608520196
807621,15.08.2023,трехчасовой прогноз,15.08.2023,15.08.2023,,,без осадков,,24,26,,,,"Днем преимущественно без осадков 0-0,2 мм, температура 24…26 градусов, ветер северо-западный 4-9 м/сек. Ночью без осадков, температура 14…16 градусов, ветер северо-западный 4-9 м/сек.",2608615443
807817,16.08.2023,трехчасовой прогноз,16.08.2023,16.08.2023,,,без осадков,,25,27,,,,"Днем жаркая погода, без осадков, температура 25…27 градусов, ветер северо-западный 4-9 м/сек. Ночью без осадков, температура 13…15 градусов, ветер западный 2-7 м/сек.",2609289973
808013,17.08.2023,трехчасовой прогноз,17.08.2023,17.08.2023,,,без осадков,,26,28,,,,"Днем жаркая погода, без осадков, температура 26…28 градусов, ветер северный 2-7 м/сек. Ночью без осадков, температура 15…17 градусов, ветер переменный 2-7 м/сек.",2609289970
808209,18.08.2023,трехчасовой прогноз,18.08.2023,18.08.2023,,,дождь,,26,28,,,,"Днем жаркая погода, местами кратковременный дождь 0-10 мм, возможна гроза, температура 26…28 градусов, ветер северо-восточный 5-10 м/сек, при грозе порывы 12-14 м/сек. Ночью местами небольшой кратковременный дождь 0-2 мм, температура 17…19 градусов, ветер переменный 2-7 м/сек.",2609289960
808405,19.08.2023,трехчасовой прогноз,19.08.2023,19.08.2023,,,дождь,,23,25,,,,"Днем местами кратковременный дождь 0-3 мм, температура 23…25 градусов, ветер северо-восточный 5-10 м/сек. Ночью местами кратковременный дождь 0-5 мм, температура 15…17 градусов, ветер восточный 2-7 м/сек.",2609363612
808590,20.08.2023,трехчасовой прогноз,20.08.2023,20.08.2023,,,дождь,,23,25,,,,"Днем кратковременный дождь 5-12 мм, возможна гроза, температура 23…25 градусов, ветер северо-западный 5-10 м/сек, при грозе порывы 12-15 м/сек. Ночью преимущественно без осадков 0-0,2 мм, температура 15…17 градусов, ветер юго-восточный 3-8 м/сек.",2609497888
808786,21.08.2023,трехчасовой прогноз,21.08.2023,21.08.2023,,,без осадков,,21,23,,,,"Днем без осадков, температура 21…23 градусов, ветер северо-восточный 3-8 м/сек. Ночью без осадков, температура 13…15 градусов, ветер западный 3-8 м/сек.",2609700776
808982,22.08.2023,трехчасовой прогноз,22.08.2023,22.08.2023,,,дождь,,18,20,,,,"Днем кратковременный дождь 2-7 мм, температура 18…20 градусов, ветер переменный 2-7 м/сек. Ночью местами небольшой кратковременный дождь 0-2 мм, температура 13…15 градусов, ветер северо-западный 5-10 м/сек.",2609719884
809178,23.08.2023,трехчасовой прогноз,23.08.2023,23.08.2023,,,дождь,,16,18,,,,"Днем кратковременный дождь 5-14 мм, возможна гроза, температура 16…18 градусов, ветер северо-западный, западный 5-10 м/сек, при грозе порывы 12-15 м/сек. Ночью местами кратковременный дождь 0-3 мм, температура 12…14 градусов, ветер северо-западный 5-10 м/сек.",2609762614
809362,24.08.2023,трехчасовой прогноз,24.08.2023,24.08.2023,,,дождь,,16,18,,,,"Днем местами кратковременный дождь 0-3 мм, температура 16…18 градусов, ветер северо-восточный 5-10 м/сек. Ночью без осадков, температура 9…11 градусов, ветер переменный слабый, менее 5 м/сек.",2609776274
809558,25.08.2023,трехчасовой прогноз,25.08.2023,25.08.2023,,,без осадков,,17,19,,,,"Днем без осадков, температура 17…19 градусов, ветер северо-восточный 3-8 м/сек. Ночью без осадков, температура 9…11 градусов, ветер северо-западный 3-8 м/сек.",2610220531
809754,26.08.2023,трехчасовой прогноз,26.08.2023,26.08.2023,,,дождь,,20,22,,,,"Днем местами кратковременный дождь 0-5 мм, температура 20…22 градусов, ветер юго-западный 5-10 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 10…12 градусов, ветер слабый менее 5 м/сек.",2611818999
809928,27.08.2023,трехчасовой прогноз,27.08.2023,27.08.2023,,,дождь,,21,23,,,,"Днем без существенных осадков 0-0,2 мм, температура 21…23 градуса, ветер северо-западный 5-10 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 10…12 градусов, ветер слабый, менее 5 м/сек.",2611842087
810124,28.08.2023,трехчасовой прогноз,28.08.2023,28.08.2023,,,без осадков,,20,22,,,,"Днем без осадков, температура 20…22 градуса, ветер северо-восточный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 10…12 градусов, ветер юго-восточный 5-10 м/сек.",2612384843
810320,29.08.2023,трехчасовой прогноз,29.08.2023,29.08.2023,,,дождь,,17,19,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 17…19 градусов, ветер юго-восточный 3-8 м/сек. Ночью без осадков, температура 12…14 градусов, слабый менее 5 м/сек.",2612852319
810516,30.08.2023,трехчасовой прогноз,30.08.2023,30.08.2023,,,без осадков,,22,24,,,,"Днем без осадков, температура 22…24 градуса, ветер восточный, юго-восточный 3-8 м/сек. Ночью без осадков, температура 13…15 градусов, юго-восточный 3-8 м/сек.",2613629826
810712,31.08.2023,трехчасовой прогноз,31.08.2023,31.08.2023,,,без осадков,,24,26,,,,"Днем жаркая погода, без осадков, температура 24…26 градусов, ветер юго-восточный 3-8 м/сек. Ночью без осадков, температура 15…17 градусов, южный 5-10 м/сек.",2613983901
810908,01.09.2023,трехчасовой прогноз,01.09.2023,01.09.2023,,,дождь,,25,27,,,,"Днем жаркая погода, без осадков, температура 25…27 градусов, ветер южный 5-10 м/сек. Ночью местами кратковременный дождь 0-3 мм, температура 14…16 градусов, переменный 2-7 м/сек.",2614993093
811093,02.09.2023,трехчасовой прогноз,02.09.2023,02.09.2023,,,дождь,,20,22,,,,"Днем кратковременный дождь 3-8 мм, температура 20…22 градуса, ветер переменный 2-7 м/сек. Ночью кратковременный дождь 3-8 мм, температура 12…14 градусов, северо-западный 3-8 м/сек.",2615125020
811289,03.09.2023,трехчасовой прогноз,03.09.2023,03.09.2023,,,без осадков,,20,22,,,,"Днем без осадков, температура 20…22 градуса, ветер северо-западный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 11…13 градусов, ветер западный 3-8 м/сек.",2615226678
811485,04.09.2023,трехчасовой прогноз,04.09.2023,04.09.2023,,,без осадков,,20,22,,,,"Днем без осадков, температура 20…22 градуса, ветер северо-западный 3-8 м/сек. Ночью без осадков, температура 10…12 градусов, северо-западный 3-8 м/сек.",2615328462
811681,05.09.2023,трехчасовой прогноз,05.09.2023,05.09.2023,,,без осадков,,20,22,,,,"Днем без осадков, температура 20…22 градуса, ветер северо-западный, западный 3-8 м/сек. Ночью без осадков, температура 10…12 градусов, ветер юго-западный 3-8 м/сек.",2615590978
811866,06.09.2023,трехчасовой прогноз,06.09.2023,06.09.2023,,,дождь,,19,21,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 19…21 градус, ветер северо-западный 5-10 м/сек., местами порывы 12-14 м/сек. Ночью без осадков, температура 8…10 градусов, ветер западный 5-10 м/сек.",2615735330
812051,07.09.2023,трехчасовой прогноз,07.09.2023,07.09.2023,,,без осадков,,15,17,,,,"Днем без осадков, температура 15…17 градусов, ветер северо-западный 5-10 м/сек., местами порывы 12-14 м/сек. Ночью без осадков, температура 7…9 градусов, ветер северо-западный 5-10 м/сек.",2615863650
812224,08.09.2023,трехчасовой прогноз,08.09.2023,08.09.2023,,,дождь,,15,17,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 15…17 градусов, ветер северо-западный 5-10 м/сек., местами порывы 12-14 м/сек. Ночью без осадков, температура 7…9 градусов, ветер северо-западный 3-8 м/сек.",2616251515
812420,09.09.2023,трехчасовой прогноз,09.09.2023,09.09.2023,,,без осадков,,17,19,,,,"Днем без существенных осадков 0-0,2 мм, температура 17…19 градусов, ветер северный 5-10 м/сек. Ночью без осадков, температура 9…11 градусов, ветер северо-западный 3-8 м/сек.",2616443262
812616,10.09.2023,трехчасовой прогноз,10.09.2023,10.09.2023,,,без осадков,,19,21,,,,"Днем без осадков, температура 19…21 градус, ветер северо-западный 3-8 м/сек. Ночью без осадков, температура 9…11 градусов, ветер северо-западный 3-8 м/сек.",2616629344
812812,11.09.2023,трехчасовой прогноз,11.09.2023,11.09.2023,,,без осадков,,20,22,,,,"Днем без осадков, температура 20…22 градуса, ветер северный 3-8 м/сек. Ночью без осадков, температура 9…11 градусов, ветер юго-восточный 3-8 м/сек.",2616803975
813008,12.09.2023,трехчасовой прогноз,12.09.2023,12.09.2023,,,без осадков,,20,22,,,,"Днем без осадков, температура 20…22 градуса, ветер юго-восточный 3-8 м/сек. Ночью без осадков, температура 9…11 градусов, ветер слабый, менее 5 м/сек.",2617115544
